Id,category,adress,postcode,city,borough,neighbourhood,suburb,town,village,hamlet,road,road_reference
522166,road,"unnamed road, 33173 Ribera de Arriba, Spain",33173,Ribera de Arriba,,La Costana,,,Ribera de Arriba,Lugar de Abajo,unnamed road,
522954,road,"Camín de la Fuente de Turiellos, 33390 Gijón, Spain",33390,Gijón,,,,,,Mareo de Baxo,Camín de la Fuente de Turiellos,
522962,road,"Camín de la Fuente de Turiellos, 33390 Gijón, Spain",33390,Gijón,,,,,,Mareo de Baxo,Camín de la Fuente de Turiellos,
525634,road,"unnamed road, 33157 Cudillero, Spain",33157,Cudillero,,,,,,Albuerne,unnamed road,
526309,road,"unnamed road, 33010 Oviedo, Spain",33010,Oviedo,,,El Palais,,,,unnamed road,
526932,road,"unnamed road, 33980 Laviana, Spain",33980,Laviana,,,,Pola de Laviana,,,unnamed road,
531290,road,"Carretera Llovio - Canero, 33155 Cudillero, Spain",33155,Cudillero,,,,,,Castañéu,Carretera Llovio - Canero,N-632a
531443,building,"Calle Doctor Aquilino Hurlé, 4, 33202 Gijón, Spain",33202,Gijón,Distrito Este,El Bibio,El Coto,,,,Calle Doctor Aquilino Hurlé,
540328,road,"Carretera de Barredos a San Julián de Bimenes, 33960 Bimenes, Spain",33960,Bimenes,,,,,,Les Quintanes,Carretera de Barredos a San Julián de Bimenes,AS-382
540851,road,"unnamed road, 33980 Laviana, Spain",33980,Laviana,,,,,,Mardana,unnamed road,
558878,place,"33589 Cangas de Onís, Spain",33589,Cangas de Onís,,,,,,,,
559756,road,"Calle del Sol, 33980 Laviana, Spain",33980,Laviana,,,,Pola de Laviana,,,Calle del Sol,
560084,road,"Calle Ángel Cañedo, 33010 Oviedo, Spain",33010,Oviedo,,,Teatinos,,,,Calle Ángel Cañedo,
560708,road,"Carretera de Veriña a San Andrés, 33393 Gijón, Spain",33393,Gijón,,,Montiana,,,,Carretera de Veriña a San Andrés,
560723,road,"Acceso a la Concha de Artedo, 33155 Cudillero, Spain",33155,Cudillero,,,,,,La Magdalena,Acceso a la Concha de Artedo,
560864,commerce,"Sidrería El Serazo, Calle Bajamar, 33125 Soto del Barco, Spain",33125,Soto del Barco,,L'Arrabal,,,Soto del Barco,La Calea,Calle Bajamar,
566020,road,"unnamed road, Villaviciosa, Spain",,,,,,Villaviciosa,,Celada,unnamed road,
567168,road,"unnamed road, 33970 Laviana, Spain",33970,Laviana,,,,,,Sayeo,unnamed road,
567185,building,"Carretera de Trubia, 1958, 33392 Gijón, Spain",33392,Gijón,,,,,,Trubia,Carretera de Trubia,
569225,road,"Calle Ana María, 33208 Gijón, Spain",33208,Gijón,Distrito Llano,,,,,,Calle Ana María,
569889,road,"Calle Noreña, 33010 Oviedo, Spain",33010,Oviedo,,,El Palais,,,,Calle Noreña,
582509,road,"Calle Noreña, 33010 Oviedo, Spain",33010,Oviedo,,,El Palais,,,,Calle Noreña,
